"cell_id","effortId","search_effort","fringe_dist","assigned_community","area","area_prop"
78782,"prior",0,18750.9704982554,0,,
79484,"prior",0,18753.2266766098,0,,
80185,"prior",0,18777.8782610655,0,,
80888,"prior",0,18758.0237390812,0,,
80889,"prior",0,18735.6995832978,0,,
81591,"prior",0,18738.1958257808,0,,
81592,"prior",0,18715.8479884053,0,,
81593,"prior",0,18693.5211147153,0,,
82294,"prior",0,18718.3946054011,0,,
82295,"prior",0,18696.0230681838,0,,
82296,"prior",0,18673.672460567,0,,
82998,"prior",0,18676.2249072572,0,,
92148,"prior",0,18172.9311688725,0,,
92850,"prior",0,18175.7512978977,0,,
92851,"prior",0,18153.2506998959,0,,
93553,"prior",0,18156.1230807402,0,,
93554,"prior",0,18133.5981012931,0,,
94262,"prior",0,18001.5456288426,0,,
94964,"prior",0,18004.293759203,0,,
94965,"prior",0,17981.8263932633,0,,
94966,"prior",0,17959.3805525714,0,,
95668,"prior",0,17962.1352083572,0,,
95669,"prior",0,17939.664706498,0,,
95670,"prior",0,17917.2157727739,0,,
96372,"prior",0,17919.9769842574,0,,
97120,"prior",0,16910.4507874309,0,,
97823,"prior",0,16889.6684169833,0,,
97824,"prior",0,16868.1996713721,0,,
98526,"prior",0,16868.913365643,0,,
98527,"prior",0,16847.4181671026,0,,
98528,"prior",0,16825.9484685022,0,,
99230,"prior",0,16826.6640523761,0,,
99231,"prior",0,16805.1678349259,0,,
99933,"prior",0,16805.9374282358,0,,
99934,"prior",0,16784.4146616927,0,,
99935,"prior",0,16762.9174206964,0,,
100637,"prior",0,16763.6890503578,0,,
100638,"prior",0,16742.1651938743,0,,
100639,"prior",0,16720.6669246552,0,,
101340,"prior",0,16742.9911028417,0,,
101341,"prior",0,16721.440600633,0,,
101342,"prior",0,16699.9156491993,0,,
102044,"prior",0,16700.7437434106,0,,
102045,"prior",0,16679.192079381,0,,
102046,"prior",0,16657.6660279499,0,,
102748,"prior",0,16658.4963181592,0,,
102749,"prior",0,16636.9434869243,0,,
102750,"prior",0,16615.4163304139,0,,
103451,"prior",0,16637.8284688633,0,,
103452,"prior",0,16616.2488274523,0,,
103453,"prior",0,16594.6948235901,0,,
104155,"prior",0,16595.5821533944,0,,
104156,"prior",0,16574.0012716643,0,,
104157,"prior",0,16552.446089712,0,,
104859,"prior",0,16553.3357790246,0,,
104860,"prior",0,16531.7536511694,0,,
105562,"prior",0,16532.698450443,0,,
105563,"prior",0,16511.0893461803,0,,
105564,"prior",0,16489.5059663464,0,,
106266,"prior",0,16490.4532800534,0,,
106267,"prior",0,16468.8428552867,0,,
106268,"prior",0,16447.2582175777,0,,
106970,"prior",0,16448.2080582907,0,,
106971,"prior",0,16426.5963067728,0,,
107673,"prior",0,16427.6016815959,0,,
107674,"prior",0,16405.9627856376,0,,
107675,"prior",0,16384.3497010782,0,,
121010,"prior",0,16489.927249398,0,,
121011,"prior",0,16467.2877258159,0,,
121713,"prior",0,16470.4570176028,0,,
121714,"prior",0,16447.7906875126,0,,
121715,"prior",0,16425.1473513677,0,,
122417,"prior",0,16428.3248356338,0,,
